,num_words,num_sentences,avg_sentence_length,std_sentence_length,avg_syllable_count,std_syllable_count,avg_letter_count,std_letter_count,flesch_reading_ease,flesh_kincaid_grade,smog_index,lexical_diversity,num_stopwords,num_pronouns,num_verbs,avg_tree_depth,avg_concreteness,num_misspelled,lsa_overlap_avg,essay_set,target,ordinal_score
0,340,16,24.6875,15.369748425614086,1.2588235294117647,0.5779210258582909,4.182352941176471,2.0686550414157514,65.56,9.7,10.7,0.4823529411764706,0.5323529411764706,0.1411764705882353,0.14705882352941177,3.614705882352941,2.366470588235294,0.026470588235294117,0.7234332213436432,1,6.0,8
1,410,20,22.8,13.065019588278666,1.3756097560975609,0.7168187284042866,4.290243902439024,2.324768819176552,67.08,9.1,11.8,0.47804878048780486,0.47560975609756095,0.12195121951219512,0.16829268292682928,3.7756097560975608,2.2317317073170733,0.03170731707317073,0.5450779047280478,1,7.0,9
2,272,15,20.4,13.329880505305152,1.400735294117647,0.7472455025701743,4.330882352941177,2.330782764667526,59.74,9.9,12.3,0.5477941176470589,0.5257352941176471,0.09558823529411764,0.14705882352941177,3.4595588235294117,2.0927573529411765,0.003676470588235294,0.6101312386819957,1,5.0,7
3,485,27,21.333333333333332,12.6125700424982,1.468041237113402,0.8064238974808586,4.680412371134021,2.4635625272086097,51.78,10.9,12.4,0.48041237113402063,0.45979381443298967,0.06597938144329897,0.14845360824742268,3.2061855670103094,2.097278350515464,0.04536082474226804,0.7849971557302913,1,8.0,10
4,463,30,17.266666666666666,7.153168255532231,1.406047516198704,0.7611552323807633,4.34341252699784,2.3067740485949866,64.2,8.2,11.1,0.43844492440604754,0.5205183585313174,0.08855291576673865,0.12958963282937366,2.6457883369330455,2.0974730021598273,0.019438444924406047,0.7073257560351536,1,6.0,8
5,239,17,15.764705882352942,7.013642168701525,1.292887029288703,0.6905664096780204,4.0,2.118347223186792,72.76,6.9,9.8,0.5355648535564853,0.5732217573221757,0.16736401673640167,0.17154811715481172,2.602510460251046,2.413723849372385,0.0502092050209205,0.7641223244510585,1,6.0,8
6,492,30,19.133333333333333,6.224164995005955,1.410569105691057,0.7375097647189612,4.41869918699187,2.1243175338643834,63.09,8.6,10.8,0.45528455284552843,0.49390243902439024,0.1483739837398374,0.12601626016260162,2.821138211382114,2.4048983739837397,0.006097560975609756,0.7068392594370997,1,8.0,10
7,487,39,14.743589743589743,7.36534541555373,1.3716632443531827,0.7983122020606974,4.2587268993839835,2.3028879751489506,67.35,6.9,10.0,0.4353182751540041,0.48459958932238195,0.12525667351129363,0.17659137577002054,2.7926078028747434,2.4459137577002057,0.006160164271047228,0.48027295055698904,1,8.0,10
8,436,35,14.457142857142857,6.942379898526311,1.348623853211009,0.7596266086868723,4.215596330275229,2.29629083471491,75.61,5.8,9.7,0.5,0.5137614678899083,0.13302752293577982,0.16055045871559634,2.614678899082569,2.3480045871559634,0.016055045871559634,0.704365806425603,1,7.0,9
9,501,29,19.482758620689655,9.937737201680026,1.281437125748503,0.6683073623258404,4.0039920159680635,2.0803807420604836,77.27,7.3,10.4,0.4251497005988024,0.5588822355289421,0.1317365269461078,0.1497005988023952,3.0558882235528944,2.3229540918163676,0.015968063872255488,0.8111050533428044,1,7.0,9
